approach_slope_limit_deg,egress_reserve_fraction,disturbance_index_cap,telemetry_buffer_min_s,synthetic_success_score,pass
24,0.32,0.3,180,0.554,True
24,0.32,0.3,210,0.579,True
24,0.32,0.3,240,0.604,True
24,0.32,0.32,150,0.525,True
24,0.32,0.32,180,0.55,True
24,0.32,0.32,210,0.575,True
24,0.32,0.32,240,0.6,True
24,0.32,0.34,150,0.521,True
24,0.32,0.34,180,0.546,True
24,0.32,0.34,210,0.571,True
24,0.32,0.34,240,0.596,True
